"id","client_id","phone","created_at","updated_at"
33,173228,"8 (974) 60649 53",2021-12-01 16:40:09.000,"18:01:15 01/12/2021"
34,382596,"8 (937)158 1600",2021-01-30 14:37:31.000,"15:09:23 30/01/2021"
35,840647,"8(996) 2958239",2021-05-26 13:51:15.000,"14:40:43 26/05/2021"
36,418629,"8999 49245 50",2021-08-02 23:41:22.000,"00:31:26 03/08/2021"
37,324902,"8 (924) 582 8364",2021-09-12 20:57:04.000,"22:13:43 12/09/2021"
38,359631,"8(967) 6229620",2021-04-13 00:04:16.000,"00:04:55 13/04/2021"
39,702020,"8 975987 6225",2021-10-26 07:08:42.000,"08:27:19 26/10/2021"
40,123878,"8 (907)072 14 51",2021-03-16 17:38:30.000,"17:47:57 16/03/2021"
41,207231,"8 943 56193 75",2021-11-06 15:49:59.000,"16:52:54 06/11/2021"
42,708393,"8 (925) 7471948",2021-08-18 17:43:25.000,"19:06:01 18/08/2021"
43,647893,"8 (915)2380863",2021-06-05 15:26:30.000,"15:43:16 05/06/2021"
44,398266,"8933443 21 70",2021-11-16 05:54:56.000,"07:09:36 16/11/2021"
45,697065,"8 (971)99349 58",2021-01-04 09:26:50.000,"10:19:21 04/01/2021"
46,899775,"8 90491854 14",2021-06-15 01:17:54.000,"02:40:59 15/06/2021"
47,756861,"8998161 71 67",2021-08-08 12:58:45.000,"13:13:21 08/08/2021"
48,460320,"8 (955)19765 59",2021-06-20 01:18:31.000,"02:26:48 20/06/2021"
49,515537,"89249849631",2021-08-17 20:20:58.000,"20:41:07 17/08/2021"
50,306316,"896029519 67",2021-08-21 15:52:28.000,"17:09:53 21/08/2021"
51,874144,"8 (989)361 6054",2021-03-29 13:21:44.000,"14:15:31 29/03/2021"
52,276585,"8921 65226 87",2021-11-11 14:50:39.000,"15:29:12 11/11/2021"
53,926058,"8992 084 54 42",2021-02-24 12:24:03.000,"13:34:44 24/02/2021"
54,557973,"8 927 5503004",2021-08-23 04:10:56.000,"04:51:24 23/08/2021"
55,795651,"8989 6819050",2021-02-04 19:30:36.000,"20:34:34 04/02/2021"
56,319407,"8 919 597 6278",2021-05-04 08:52:48.000,"09:47:19 04/05/2021"
57,795231,"8 (922)83326 61",2021-09-20 00:38:17.000,"01:40:02 20/09/2021"
58,751071,"8(914)456 8982",2021-10-02 00:16:32.000,"01:01:33 02/10/2021"
59,985971,"8957 82500 23",2021-01-30 21:12:52.000,"22:17:14 30/01/2021"
60,840193,"8(920)184 9814",2021-10-17 15:06:58.000,"16:21:47 17/10/2021"
61,786664,"8(967)3540873",2021-04-17 10:08:27.000,"11:13:53 17/04/2021"
62,869459,"8(996) 905 29 27",2021-02-17 14:59:49.000,"16:08:15 17/02/2021"
63,906165,"8(903) 836 68 91",2021-01-15 13:08:05.000,"14:27:06 15/01/2021"
64,550013,"8(939)400 6436",2021-01-19 19:28:09.000,"19:38:34 19/01/2021"
65,328979,"8998 615 52 20",2021-07-12 08:58:53.000,"09:18:01 12/07/2021"
66,524016,"8(991)988 5354",2021-11-22 20:28:58.000,"21:32:07 22/11/2021"
67,260982,"8 (989)949 17 75",2021-06-18 22:30:40.000,"22:32:35 18/06/2021"
68,561292,"8(910) 369 2143",2021-09-30 09:12:28.000,"10:01:23 30/09/2021"
69,752819,"8986 2310802",2021-01-28 17:09:19.000,"17:51:04 28/01/2021"
70,858329,"8 905 516 44 01",2021-11-17 15:24:55.000,"16:05:39 17/11/2021"
71,488795,"8(949) 8808602",2021-11-17 19:28:26.000,"19:43:36 17/11/2021"
72,918748,"8 92989472 85",2021-09-02 18:26:18.000,"18:51:06 02/09/2021"
73,234909,"8 (909) 89470 72",2021-11-02 17:10:49.000,"18:30:04 02/11/2021"
74,269083,"8 (912) 903 0659",2021-01-08 02:42:03.000,"03:45:37 08/01/2021"
75,440942,"8 974 665 1275",2021-10-14 14:48:07.000,"15:14:44 14/10/2021"
76,196352,"8(940)75010 04",2021-03-29 07:44:38.000,"08:56:05 29/03/2021"
77,101968,"8(999) 3227690",2021-05-10 12:51:13.000,"13:53:05 10/05/2021"
78,551355,"8 (980)630 06 88",2021-11-19 07:01:47.000,"07:05:25 19/11/2021"
79,781970,"89458370689",2021-08-08 07:25:21.000,"08:17:27 08/08/2021"
80,553628,"8(919) 812 9171",2021-08-08 08:10:06.000,"08:51:50 08/08/2021"
81,763883,"8(914) 657 04 55",2021-06-11 17:21:56.000,"18:30:51 11/06/2021"
82,173004,"8 (995)5556068",2021-12-07 00:34:22.000,"01:46:34 07/12/2021"
83,425716,"8 9071223641",2021-04-08 23:05:42.000,"23:42:18 08/04/2021"
84,877601,"8968 888 77 09",2021-10-11 12:17:37.000,"13:19:34 11/10/2021"
85,556710,"8(932) 750 4989",2021-02-11 10:49:04.000,"11:27:53 11/02/2021"
86,768506,"8(939) 671 1744",2021-06-03 00:30:00.000,"01:40:04 03/06/2021"
87,446969,"8 904932 64 31",2021-12-18 16:10:50.000,"16:43:41 18/12/2021"
88,556377,"8924 19171 62",2021-10-15 00:40:27.000,"01:24:54 15/10/2021"
89,485368,"8(997)64019 69",2021-06-06 08:41:55.000,"09:45:12 06/06/2021"
90,451033,"897331211 93",2021-04-24 16:24:08.000,"16:58:40 24/04/2021"
91,610577,"8 (916) 32949 82",2021-02-02 17:10:23.000,"18:20:43 02/02/2021"
92,652392,"8(991) 8893384",2021-05-05 19:07:36.000,"19:38:03 05/05/2021"
93,110717,"8(969)2248469",2021-02-08 02:49:10.000,"03:03:11 08/02/2021"
94,691925,"8986 9481104",2021-11-19 10:51:36.000,"11:51:52 19/11/2021"
95,263690,"8 (901) 959 38 86",2021-08-29 21:09:51.000,"21:14:34 29/08/2021"
96,260062,"8 (997) 6645881",2021-03-20 14:41:31.000,"15:56:43 20/03/2021"
97,556213,"8 (943)58966 27",2021-08-08 16:22:47.000,"17:38:44 08/08/2021"
98,347184,"8 9377410328",2021-07-25 16:20:00.000,"17:12:10 25/07/2021"
99,614024,"8 932 95944 97",2021-03-11 23:21:11.000,"23:40:50 11/03/2021"
100,502656,"8985458 34 97",2021-11-12 04:33:39.000,"05:10:38 12/11/2021"
101,245266,"8 (985)21346 11",2021-09-28 18:58:11.000,"20:03:14 28/09/2021"
102,500941,"8(901) 438 31 32",2021-07-15 10:42:36.000,"11:25:05 15/07/2021"
103,633672,"8(941)13318 88",2021-10-19 03:16:31.000,"04:06:54 19/10/2021"
104,769370,"8955 651 20 21",2021-06-05 14:20:25.000,"14:26:50 05/06/2021"
105,615020,"8(925) 860 88 57",2021-06-17 01:38:26.000,"02:35:56 17/06/2021"
106,593115,"89398344797",2021-10-25 10:36:01.000,"11:43:31 25/10/2021"
107,100833,"8(941)335 71 67",2021-01-05 09:35:01.000,"10:08:21 05/01/2021"
108,902916,"89171404107",2021-02-11 06:55:30.000,"07:33:49 11/02/2021"
109,432692,"892866155 63",2021-12-08 22:29:45.000,"22:47:53 08/12/2021"
110,633174,"8 951 055 9767",2021-02-27 06:40:00.000,"07:18:02 27/02/2021"
111,486602,"8 (985) 6819224",2021-06-20 10:42:20.000,"10:46:29 20/06/2021"
112,916130,"8 949930 07 78",2021-04-10 13:42:14.000,"13:53:58 10/04/2021"
113,910563,"8 (906)670 09 08",2021-04-10 23:53:14.000,"00:43:11 11/04/2021"
114,534628,"89620732498",2021-01-05 03:38:59.000,"04:58:40 05/01/2021"
115,369830,"8(973)171 71 11",2021-11-22 17:05:29.000,"18:01:30 22/11/2021"
116,579369,"8(988) 113 8342",2021-08-25 16:27:55.000,"17:14:02 25/08/2021"
117,643388,"8(991)960 6250",2021-04-08 06:41:19.000,"07:27:49 08/04/2021"
118,238540,"89513635278",2021-02-14 03:45:22.000,"04:11:27 14/02/2021"
119,619573,"8 916061 1502",2021-05-05 00:38:34.000,"00:47:40 05/05/2021"
120,448085,"8917604 7526",2021-02-02 06:20:53.000,"06:53:47 02/02/2021"
121,994640,"8992 2999190",2021-08-06 03:33:44.000,"03:42:55 06/08/2021"
122,194935,"8(932) 255 82 55",2021-08-19 16:19:59.000,"17:39:55 19/08/2021"
123,125904,"8936634 1463",2021-06-17 08:27:22.000,"09:40:58 17/06/2021"
124,932184,"8 (925) 3223470",2021-02-06 05:49:24.000,"06:47:34 06/02/2021"
125,227327,"8(969) 82138 17",2021-03-13 00:25:56.000,"00:40:33 13/03/2021"
126,318880,"8 948065 4110",2021-02-25 03:10:10.000,"03:20:11 25/02/2021"
127,712702,"8 (958)8785554",2021-10-11 18:49:22.000,"20:10:27 11/10/2021"
128,924657,"8(948)09741 56",2021-04-02 16:32:46.000,"17:36:11 02/04/2021"
129,197676,"8 (912) 038 0551",2021-11-27 18:35:42.000,"19:32:51 27/11/2021"
130,394997,"8(930) 674 7177",2021-09-08 15:50:09.000,"16:18:55 08/09/2021"
131,470033,"8(908) 864 06 08",2021-01-07 21:19:33.000,"22:12:34 07/01/2021"
132,220214,"8 900-305 22 81",2021-01-01 04:16:16.000,"04:39:14 01/01/2021"
133,163779,"8973 9301063",2021-07-17 03:50:24.000,"04:25:56 17/07/2021"
134,192807,"8(963)648 6373",2021-02-19 14:02:08.000,"14:30:57 19/02/2021"
135,400445,"8 (924)76806 37",2021-11-19 00:49:49.000,"00:50:37 19/11/2021"
136,151440,"8920 303 26 22",2021-11-15 12:12:45.000,"12:21:00 15/11/2021"
137,424388,"8(938)198 7908",2021-04-28 00:32:51.000,"01:41:17 28/04/2021"
138,988041,"8 (936) 577 74 95",2021-03-07 21:17:21.000,"22:37:38 07/03/2021"
139,156789,"8 (948) 00166 21",2021-11-24 08:13:47.000,"08:27:51 24/11/2021"
140,661642,"8(922) 551 3877",2021-09-05 03:22:04.000,"04:22:08 05/09/2021"
141,259744,"8(985)820 6829",2021-04-21 15:03:48.000,"15:55:32 21/04/2021"
142,670612,"8 985 08479 69",2021-06-27 14:32:31.000,"15:43:29 27/06/2021"
143,724167,"8(982)944 8600",2021-06-01 08:12:19.000,"09:18:58 01/06/2021"
144,605490,"8(924) 509 0674",2021-03-18 22:03:11.000,"22:19:33 18/03/2021"
145,434079,"8 (945) 009 58 86",2021-08-14 12:40:22.000,"12:53:28 14/08/2021"
146,475086,"8941 4594146",2021-12-21 18:35:54.000,"18:47:06 21/12/2021"
147,704848,"8 (980)594 46 97",2021-10-17 04:41:49.000,"04:56:13 17/10/2021"
148,984049,"8987 5286287",2021-04-19 16:48:39.000,"17:25:36 19/04/2021"
149,640125,"8 958566 77 14",2021-06-01 11:42:54.000,"12:10:22 01/06/2021"
150,953540,"8(972) 282 78 90",2021-11-15 01:12:52.000,"02:28:18 15/11/2021"
151,767717,"8 986544 26 99",2021-05-23 17:52:16.000,"18:12:59 23/05/2021"
152,649690,"8911072 0101",2021-04-16 09:14:04.000,"10:23:38 16/04/2021"
153,222807,"8 (948)457 31 91",2021-01-28 15:37:53.000,"16:17:17 28/01/2021"
154,689331,"898843248 16",2021-07-19 14:49:12.000,"15:17:02 19/07/2021"
155,887613,"8943-7999435",2021-09-08 02:05:35.000,"02:45:30 08/09/2021"
156,427407,"8906 9209592",2021-05-12 08:14:39.000,"08:28:51 12/05/2021"
157,935647,"8 (918) 075 1461",2021-11-19 08:19:27.000,"08:38:42 19/11/2021"
158,772215,"8 (986)4004755",2021-02-06 23:23:05.000,"23:31:30 06/02/2021"
159,187343,"8 914 216 48 01",2021-11-10 09:38:11.000,"10:52:43 10/11/2021"
160,366852,"8(952)445 19 16",2021-07-12 12:38:21.000,"13:42:00 12/07/2021"
161,794819,"8 970271 0552",2021-03-20 17:52:29.000,"18:46:24 20/03/2021"
162,871406,"89042464256",2021-05-07 05:27:05.000,"05:46:33 07/05/2021"
163,649951,"8 (969)759 0627",2021-05-18 12:50:32.000,"13:55:29 18/05/2021"
164,255887,"8 (994)376 0147",2021-12-29 08:25:22.000,"08:27:19 29/12/2021"
165,958135,"8(975) 40335 66",2021-11-08 18:10:04.000,"18:54:37 08/11/2021"
166,603887,"8935 986 7682",2021-06-07 01:10:19.000,"01:29:11 07/06/2021"
167,274057,"8 (968) 77232 12",2021-03-30 05:23:17.000,"06:36:48 30/03/2021"
168,787725,"8 9516739780",2021-06-19 01:54:01.000,"03:06:50 19/06/2021"
169,446862,"8 (951) 2859390",2021-10-11 03:07:58.000,"03:40:17 11/10/2021"
170,404138,"8 (965) 925 9482",2021-10-14 09:32:05.000,"09:52:58 14/10/2021"
171,208031,"8 930608 08 88",2021-06-17 23:21:26.000,"00:23:12 18/06/2021"
172,610086,"8(924)298 30 09",2021-07-14 21:41:07.000,"22:23:09 14/07/2021"
173,183001,"8 (910)1656261",2021-01-01 07:35:29.000,"07:38:03 01/01/2021"
174,699221,"8(913) 70549 43",2021-09-13 12:40:07.000,"12:56:25 13/09/2021"
175,781244,"8 (970)0369325",2021-07-18 09:01:10.000,"09:37:36 18/07/2021"
176,341005,"8 967 486 87 82",2021-10-21 21:38:30.000,"21:44:51 21/10/2021"
177,199942,"8(998) 2492319",2021-05-12 20:28:00.000,"21:39:57 12/05/2021"
178,940045,"8(914)156 09 63",2021-06-04 09:58:23.000,"10:53:02 04/06/2021"
179,553824,"8 (903) 3402580",2021-11-11 06:47:35.000,"07:01:16 11/11/2021"
180,793220,"8 (968)79646 90",2021-11-13 22:11:33.000,"22:57:16 13/11/2021"
181,632813,"8 (946) 0087171",2021-09-23 18:42:30.000,"19:57:28 23/09/2021"
182,456874,"8994986 25 31",2021-07-21 05:30:30.000,"05:34:06 21/07/2021"
183,659225,"8 (901)71553 81",2021-03-16 05:54:00.000,"06:15:59 16/03/2021"
184,224282,"8 (982)5055663",2021-03-25 22:18:10.000,"22:34:41 25/03/2021"
185,695618,"8962 6550401",2021-12-11 23:57:02.000,"00:37:07 12/12/2021"
186,253820,"8974947 54 78",2021-06-02 16:21:15.000,"16:21:46 02/06/2021"
187,418541,"89011008911",2021-08-12 01:19:47.000,"02:13:19 12/08/2021"
188,457512,"8(996) 170 82 05",2021-06-07 00:11:08.000,"00:39:31 07/06/2021"
189,155687,"8 915 047 2813",2021-01-15 21:10:06.000,"21:42:58 15/01/2021"
190,801503,"8 (933) 4160998",2021-04-08 16:22:04.000,"17:20:56 08/04/2021"
191,981868,"8 929 09806 48",2021-04-22 18:50:11.000,"19:53:42 22/04/2021"
192,593835,"8974 067 72 99",2021-11-13 15:06:29.000,"15:20:49 13/11/2021"
193,967027,"8901 555 95 96",2021-10-03 14:10:53.000,"15:24:19 03/10/2021"
194,691726,"8(945)25742 36",2021-08-30 05:21:41.000,"06:37:02 30/08/2021"
195,270808,"8 981475 4404",2021-01-18 03:36:41.000,"03:43:54 18/01/2021"
196,311479,"8 938 5750198",2021-01-03 12:45:28.000,"13:55:22 03/01/2021"
197,947308,"8(984) 583 27 22",2021-04-12 16:17:37.000,"16:24:11 12/04/2021"
198,415242,"8 96896580 18",2021-10-06 10:10:43.000,"10:23:12 06/10/2021"
199,788205,"8 (973) 394 03 54",2021-11-29 06:08:12.000,"07:24:00 29/11/2021"
200,331275,"8(976) 284 3173",2021-10-30 20:15:04.000,"21:37:46 30/10/2021"
201,542949,"8 (980) 68837 81",2021-11-17 16:51:24.000,"17:10:56 17/11/2021"
202,221050,"8 (943) 7129778",2021-04-24 20:01:42.000,"20:21:14 24/04/2021"
203,929329,"8 (926)083 11 99",2021-02-15 02:18:52.000,"03:02:56 15/02/2021"
204,487543,"8 924 773 1310",2021-12-08 00:14:25.000,"00:57:57 08/12/2021"
205,983119,"8(912)227 72 71",2021-12-22 08:04:22.000,"08:25:33 22/12/2021"
206,143737,"8 (961)034 05 85",2021-07-11 03:49:56.000,"04:36:51 11/07/2021"
207,160843,"8 (938)65286 69",2021-11-03 21:56:14.000,"21:59:46 03/11/2021"
208,549044,"8 9168863134",2021-02-28 01:22:45.000,"02:03:32 28/02/2021"
209,658763,"8 918 98498 50",2021-03-15 15:52:50.000,"17:07:18 15/03/2021"
210,289188,"8(990)544 6987",2021-03-30 15:23:06.000,"16:00:26 30/03/2021"
211,894626,"8930 996 60 00",2021-03-14 15:46:06.000,"16:58:45 14/03/2021"
212,656275,"8 (979) 943 48 80",2021-09-07 11:37:24.000,"12:29:41 07/09/2021"
213,195186,"8(946)3281247",2021-02-26 23:31:53.000,"23:50:56 26/02/2021"
214,125200,"8 976 924 1198",2021-04-05 07:42:00.000,"08:29:25 05/04/2021"
215,266716,"8995 87312 04",2021-04-16 22:56:06.000,"22:57:28 16/04/2021"
216,632642,"8(950)2631043",2021-05-08 05:37:58.000,"05:49:20 08/05/2021"
217,380741,"8 (984)12090 78",2021-09-07 01:03:16.000,"02:06:09 07/09/2021"
218,233508,"8(975)990 39 28",2021-03-29 04:17:26.000,"04:17:32 29/03/2021"
219,614870,"8(912) 524 44 95",2021-12-19 10:35:18.000,"11:47:48 19/12/2021"
220,970015,"8982 95575 75",2021-09-18 19:23:59.000,"20:35:32 18/09/2021"
221,855728,"8922 215 84 70",2021-01-23 04:26:20.000,"05:08:13 23/01/2021"
222,794901,"8961518 79 87",2021-08-16 23:41:44.000,"00:28:58 17/08/2021"
223,785125,"8(990)403 28 13",2021-09-15 21:02:45.000,"21:42:43 15/09/2021"
224,405252,"8 (912) 367 13 29",2021-02-07 08:47:22.000,"10:04:26 07/02/2021"
225,539879,"8 (951)4716535",2021-11-25 03:30:35.000,"03:53:05 25/11/2021"
226,125747,"8 (960) 410 0393",2021-11-05 19:40:50.000,"20:39:33 05/11/2021"
227,737290,"8 988143 22 50",2021-04-28 04:40:16.000,"05:01:07 28/04/2021"
228,128690,"8 (964) 266 1230",2021-06-17 21:17:25.000,"22:31:48 17/06/2021"
229,983648,"8 9470823974",2021-07-05 22:05:46.000,"22:41:44 05/07/2021"
230,577511,"8 (946) 8944578",2021-06-10 20:53:40.000,"21:41:12 10/06/2021"
231,474378,"8 (969) 07358 78",2021-04-12 05:11:51.000,"05:33:07 12/04/2021"
232,819717,"8(921) 9263879",2021-10-06 21:55:17.000,"22:12:40 06/10/2021"
233,120276,"8 944 62468 41",2021-01-15 14:49:54.000,"14:59:53 15/01/2021"
234,472390,"8(923)1501303",2021-04-25 02:28:19.000,"02:51:55 25/04/2021"
235,512232,"8(927)9645297",2021-07-11 10:42:02.000,"11:47:41 11/07/2021"
236,783372,"8 (944) 038 0355",2021-10-21 01:58:19.000,"02:17:39 21/10/2021"
237,229215,"8 (913)89792 10",2021-10-20 02:37:02.000,"02:41:00 20/10/2021"
238,246364,"891247629 15",2021-10-01 08:50:59.000,"09:04:27 01/10/2021"
239,876881,"8 (948)471 5455",2021-11-13 20:18:33.000,"21:21:27 13/11/2021"
240,878899,"8 982 343 8157",2021-11-01 19:12:45.000,"19:49:07 01/11/2021"
241,821538,"8 961 364 25 61",2021-07-12 18:50:15.000,"19:19:16 12/07/2021"
242,655091,"8 (924) 888 16 38",2021-06-11 14:45:55.000,"16:00:13 11/06/2021"
243,261411,"8 (919)8993145",2021-01-05 06:01:37.000,"07:05:41 05/01/2021"
244,375531,"8(922) 202 90 68",2021-08-30 14:24:41.000,"15:47:35 30/08/2021"
245,186762,"8(933)23628 70",2021-10-07 17:48:25.000,"18:15:27 07/10/2021"
246,261474,"8 9432321874",2021-11-01 23:16:52.000,"23:40:35 01/11/2021"
247,359953,"8(940) 272 3458",2021-06-05 23:55:55.000,"00:17:50 06/06/2021"
248,719967,"8 (942) 815 3191",2021-01-13 08:32:53.000,"09:17:58 13/01/2021"
249,950427,"8(934)491 09 61",2021-01-05 22:16:31.000,"23:39:48 05/01/2021"
250,219151,"8(902)436 8194",2021-02-21 00:34:32.000,"01:04:41 21/02/2021"
251,264390,"8 (985) 397 15 74",2021-05-20 04:05:51.000,"04:16:41 20/05/2021"
252,170691,"898143594 70",2021-05-25 02:23:01.000,"03:35:12 25/05/2021"
253,908105,"8 (999) 517 61 16",2021-12-29 09:54:44.000,"10:57:16 29/12/2021"
254,593922,"8 (969) 05705 29",2021-01-20 14:37:07.000,"15:01:19 20/01/2021"
255,313580,"8(952) 393 4144",2021-10-14 21:07:46.000,"21:26:56 14/10/2021"
256,694318,"8 996 33808 73",2021-12-28 11:04:11.000,"11:37:51 28/12/2021"
257,392929,"8(912) 938 61 29",2021-09-27 19:56:30.000,"21:03:18 27/09/2021"
258,132547,"8(922)316 9690",2021-05-10 19:04:58.000,"20:25:43 10/05/2021"
259,142383,"8(919) 4561664",2021-03-02 21:54:41.000,"22:49:05 02/03/2021"
260,603677,"8(933) 7009855",2021-06-16 11:29:31.000,"11:39:41 16/06/2021"
261,624008,"8934 4123221",2021-06-24 14:40:41.000,"15:25:30 24/06/2021"
262,451502,"8 (914) 61106 90",2021-03-25 19:29:03.000,"20:15:11 25/03/2021"
263,154559,"8(945)450 5840",2021-04-24 15:03:03.000,"16:25:42 24/04/2021"
264,763543,"8 (995)403 72 34",2021-01-26 04:52:53.000,"05:00:11 26/01/2021"
265,300238,"8 97551105 63",2021-07-02 00:01:41.000,"00:53:51 02/07/2021"
266,243632,"8967 0810864",2021-03-05 00:53:07.000,"01:59:26 05/03/2021"
267,916693,"8 (924)30613 12",2021-02-20 21:47:56.000,"22:36:12 20/02/2021"
268,472000,"8(979) 136 26 96",2021-07-13 17:09:44.000,"18:24:08 13/07/2021"
269,797323,"8(923)16298 47",2021-11-02 20:34:40.000,"21:01:37 02/11/2021"
270,930950,"8 9893077346",2021-09-28 10:49:30.000,"11:51:42 28/09/2021"
271,348471,"8 (956)45728 29",2021-08-16 23:44:31.000,"01:01:43 17/08/2021"
272,521864,"8 (989)-7244936",2021-02-12 04:34:57.000,"05:09:45 12/02/2021"
273,111084,"8 (957) 7963735",2021-11-25 01:16:21.000,"02:11:09 25/11/2021"
274,671860,"8 926524 5958",2021-11-13 23:20:45.000,"00:40:28 14/11/2021"
275,608336,"8914 817 44 65",2021-12-14 01:52:33.000,"03:12:26 14/12/2021"
276,469764,"8 965 425 8683",2021-07-28 04:29:35.000,"05:30:31 28/07/2021"
277,117785,"8 (989)114 24 19",2021-03-27 04:52:48.000,"06:12:30 27/03/2021"
278,581436,"8974747 56 97",2021-05-16 19:12:37.000,"19:40:37 16/05/2021"
279,433147,"8 (924) 051 5924",2021-02-15 07:57:18.000,"08:44:07 15/02/2021"
280,839098,"8(967)982 6288",2021-02-19 20:35:48.000,"21:17:18 19/02/2021"
281,916199,"8(936) 7341372",2021-12-18 01:56:55.000,"03:18:07 18/12/2021"
282,160663,"8 (960)66927 58",2021-05-02 22:37:40.000,"23:10:49 02/05/2021"
283,206338,"89408948199",2021-06-26 21:16:42.000,"22:29:33 26/06/2021"
284,676238,"8 930 8313321",2021-01-15 21:16:57.000,"22:07:13 15/01/2021"
285,915716,"8 (944) 231 70 93",2021-02-13 19:47:22.000,"20:36:56 13/02/2021"
286,290253,"8 (913)9327261",2021-11-17 17:28:45.000,"17:55:01 17/11/2021"
287,912961,"8 (971)293 1339",2021-10-14 03:29:32.000,"03:37:42 14/10/2021"
288,828527,"8 (937) 72006 95",2021-06-29 22:51:11.000,"23:31:13 29/06/2021"
289,434422,"8(933) 3621314",2021-08-07 02:06:18.000,"02:28:00 07/08/2021"
290,883599,"8960 43778 83",2021-12-20 04:35:00.000,"05:08:42 20/12/2021"
291,741212,"8990 1838442",2021-07-08 01:47:40.000,"02:35:16 08/07/2021"
292,416084,"8 91946730 46",2021-06-27 09:06:28.000,"10:12:48 27/06/2021"
293,340706,"8 974 669 26 94",2021-06-27 23:22:00.000,"00:28:33 28/06/2021"
294,224123,"8 (958)0423431",2021-06-21 13:17:34.000,"14:15:30 21/06/2021"
295,924537,"8(981)77813 62",2021-12-02 08:01:22.000,"08:31:02 02/12/2021"
296,394952,"89000203306",2021-10-13 09:13:42.000,"09:21:02 13/10/2021"
297,639341,"8 990 44761 77",2021-02-14 21:16:36.000,"22:31:48 14/02/2021"
298,260906,"8(969) 9371823",2021-11-20 10:16:35.000,"10:41:34 20/11/2021"
299,852166,"8(920) 96581 68",2021-06-08 13:48:49.000,"14:52:12 08/06/2021"
300,195508,"8 936 5052905",2021-12-04 17:01:29.000,"18:18:49 04/12/2021"
301,258115,"8(918) 5754794",2021-12-08 07:19:47.000,"08:32:26 08/12/2021"
302,366589,"8 (940)270 0779",2021-02-01 09:40:19.000,"10:59:44 01/02/2021"
303,780379,"8 (935) 39181 03",2021-06-15 12:00:58.000,"12:41:48 15/06/2021"
304,496037,"8 963 5693457",2021-06-13 01:41:52.000,"01:43:51 13/06/2021"
305,742884,"8 (971) 266 8905",2021-03-12 22:13:18.000,"23:21:31 12/03/2021"
306,398186,"8(988) 58308 40",2021-12-23 08:04:17.000,"08:53:25 23/12/2021"
307,164969,"8(988) 1763048",2021-10-07 15:06:41.000,"15:38:18 07/10/2021"
308,411200,"8 919 1472511",2021-11-13 00:31:27.000,"00:49:29 13/11/2021"
309,250733,"8947 05165 94",2021-10-22 20:57:18.000,"21:41:33 22/10/2021"
